Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
17,381773,2,2,80,188,40,40,40.0,0.0,94,94,94.0,0.0,701.9878305,10.47743031,127257.664,220371.72,381721,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,64,64,5.238715,5.238715,40,94,61.6,29.577019,874.8,0,0,0,0,0,0,0,0,1,77.0,40.0,94.0,0,0,0,0,0,0,2,80,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
6,1273508,3,6,26,11601,20,0,8.666667,10.263203,5840,0,1933.5,2189.773,9129.899459,7.067093414,159188.5,440487.28,1249161,14,24008,12004.0,15588.876,23027,981,1273437,254687.4,556024.25,1249161,14,0,0,0,0,72,132,2.3556979,4.7113957,0,5840,1162.7,1911.5957,3.6541982e+06,0,0,0,1,0,0,0,0,2,1291.8889,8.666667,1933.5,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
6,115470,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,155.8846454,25.98077423,57735.0,81604.37,115438,32,115470,115470.0,0.0,115470,115470,0,0.0,0.0,0,0,0,0,0,0,40,20,17.320517,8.660258,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,0,0,0,0,0,0,2,12,1,6,64,254,1,20,0.0,0.0,0,0,0.0,0.0,0,0
6,849850,3,5,26,11607,20,0,8.666667,10.263203,10135,0,2321.4,4413.202,13688.29793,9.413425899,121407.14,320697.28,848680,4,823,411.5,515.48083,776,47,849837,212459.25,424147.38,848680,4,0,0,0,0,72,112,3.5300348,5.8833914,0,10135,1292.5555,3350.635,1.12e+07,0,0,0,1,0,0,0,0,1,1454.125,8.666667,2321.4,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
6,100232723,7,9,11607,62,4380,0,1658.1428,1762.2728,20,0,6.888889,5.3019915,116.4190661,0.159628508,6.6821815e+06,2.34e+07,90700000,1,100000000,1.67e+07,4.09e+07,100000000,16,100000000,1.25e+07,3.17e+07,90700000,1,0,0,0,0,152,192,0.06983747,0.08979104,0,4380,686.7647,1366.1627,1.8664005e+06,0,0,0,0,1,1,0,0,1,729.6875,1658.1428,6.888889,0,0,0,0,0,0,7,11607,9,62,229,256,5,20,22430.0,0.0,22430,22430,5.01e+07,5.74e+07,90700000,9518472
17,30629,1,1,56,84,56,56,56.0,0.0,84,84,84.0,0.0,4570.831565,65.29759378,30629.0,0.0,30629,30629,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,32.648796,32.648796,56,84,65.333336,16.165808,261.33334,0,0,0,0,0,0,0,0,1,98.0,56.0,84.0,0,0,0,0,0,0,1,56,1,84,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
6,13507377,21,32,2008,2745,640,0,95.61905,140.04517,976,0,85.78125,220.24059,351.8817902,3.923781797,259757.25,703915.56,2564605,4,11200000,557937.44,985657.56,2633483,580,13500000,435717.75,873617.94,2564605,4,0,0,0,0,680,1032,1.554706,2.3690758,0,976,88.01852,189.59027,35944.473,0,0,0,1,0,0,0,0,1,89.679245,95.61905,85.78125,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0
6,67608982,19,20,2257,7036,532,0,118.789474,201.44467,2084,0,351.8,615.4791,137.452151,0.576846431,1.7791838e+06,3.6903495e+06,10000000,3,62900000,3.4926465e+06,4.7755245e+06,10100000,214,67600000,3.5556988e+06,4.660262e+06,10100000,3,0,0,0,0,392,408,0.28102773,0.2958187,0,2084,232.325,467.18723,218263.92,0,0,0,1,0,0,0,0,1,238.28206,118.789474,351.8,0,0,0,0,0,0,19,2257,20,7036,8192,32732,12,20,481369.84,1.0546082e+06,2634080,50619,9.99657e+06,10438.669,10000000,9975322
6,26030854,9,7,1061,570,373,0,117.888885,177.03139,190,0,81.42857,101.55927,62.65641534,0.614655209,1.7353902e+06,3.1945088e+06,10000000,66,21000000,2.6295628e+06,3.9302402e+06,10000000,6767,26000000,4.331983e+06,3.9225735e+06,10000000,717,0,0,0,0,296,232,0.34574357,0.26891166,0,373,95.94118,143.09546,20476.309,0,0,0,1,0,0,0,0,0,101.9375,117.888885,81.42857,0,0,0,0,0,0,9,1061,7,570,29200,31088,3,32,2.0717105e+06,2.8087788e+06,4057817,85604,8.44654e+06,2.2067182e+06,10000000,6886155
17,61015,2,2,58,446,29,29,29.0,0.0,223,223,223.0,0.0,8260.26387,65.55764976,20338.334,35220.098,61007,3,5,5.0,0.0,5,5,3,3.0,0.0,3,3,0,0,0,0,64,80,32.778824,32.778824,29,223,106.6,106.25818,11290.8,0,0,0,0,0,0,0,0,1,133.25,29.0,223.0,0,0,0,0,0,0,2,58,2,446,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
17,30835,2,2,84,284,42,42,42.0,0.0,142,142,142.0,0.0,11934.49003,129.7227177,10278.333,17758.441,30784,4,4,4.0,0.0,4,4,47,47.0,0.0,47,47,0,0,0,0,64,40,64.86136,64.86136,42,142,82.0,54.772255,3000.0,0,0,0,0,0,0,0,0,1,102.5,42.0,142.0,0,0,0,0,0,0,2,84,2,284,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
17,68015359,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.822891812,0.058810246,2.27e+07,3.92e+07,68000000,16241,68000000,6.8e+07,0.0,68000000,68000000,68000000,6.8e+07,0.0,68000000,68000000,0,0,0,0,64,64,0.029405123,0.029405123,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,0,0,0,0,0,0,2,96,2,96,-1,-1,1,32,16241.0,0.0,16241,16241,6.8e+07,0.0,68000000,68000000
17,63451,2,2,84,194,42,42,42.0,0.0,97,97,97.0,0.0,4381.333628,63.04077162,21150.334,36629.99,63447,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,40,40,31.520386,31.520386,42,97,64.0,30.12474,907.5,0,0,0,0,0,0,0,0,1,80.0,42.0,97.0,0,0,0,0,0,0,2,84,2,194,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
